NAME,bracelet,sharp,t0_c3_tri_c5_pen,t1_c3_tri_c5_pen,t0_c4_tri_c5_pen,t1_c4_tri_c5_pen,t2_c4_tri_c5_pen,t0_c5_pen_c5_pen,t1_c5_pen_c5_pen,E_2,E_3,Q_3_3,Q_2_9,Q_3_9,Q_9_9,ARM_0_2,ARM_0_3,ARM_1_2,ARM_2_2,ARM_2_3,ARM_2_4,ARM_3_3,c6_qua,mysterycell
STAR_44,"(0, 2, 0, 5, 5)",0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
STAR_45,"(0, 2, 2, 0, 3)",1,2,0,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0
STAR_46,"(0, 2, 2, 0, 4)",1,2,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
STAR_47,"(0, 2, 2, 0, 5)",0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
STAR_48,"(0, 2, 2, 0, 6)",0,2,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
STAR_49,"(0, 2, 2, 2, 2)",1,1,0,4,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0
STAR_50,"(0, 2, 2, 2, 3)",1,1,0,3,1,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0
STAR_51,"(0, 2, 2, 2, 4)",1,1,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
STAR_52,"(0, 2, 2, 2, 5)",0,1,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
STAR_53,"(0, 2, 2, 2, 6)",0,1,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
STAR_54,"(0, 2, 2, 3, 2)",1,1,0,3,1,0,0,0,2,1,0,0,0,0,1,1,0,0,1,0,0,1,0
STAR_55,"(0, 2, 2, 3, 3)",1,1,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0
STAR_56,"(0, 2, 2, 3, 4)",1,1,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
STAR_57,"(0, 2, 2, 3, 5)",0,1,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
STAR_58,"(0, 2, 2, 3, 6)",0,1,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
STAR_59,"(0, 2, 2, 5, 2)",0,1,0,3,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
STAR_60,"(0, 2, 2, 5, 3)",0,1,0,2,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0
STAR_61,"(0, 2, 2, 5, 4)",0,1,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
STAR_62,"(0, 2, 2, 5, 5)",0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
STAR_63,"(0, 2, 2, 5, 6)",0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
STAR_64,"(0, 2, 3, 0, 3)",1,2,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
STAR_65,"(0, 2, 3, 0, 5)",0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
STAR_66,"(0, 2, 3, 2, 3)",1,1,0,2,2,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
